City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
153,Flinders,AU,75.99,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
154,Iguaba Grande,BR,77.0,heavy intensity rain,-22.8392,-42.2289,Hostel Iguabella - RJ
159,Kilindoni,TZ,80.33,broken clouds,-7.9139,39.6668,Bustani B&B
160,Port Hedland,AU,84.2,broken clouds,-20.3167,118.5667,The Esplanade Hotel
166,Sembakung,ID,73.49,moderate rain,3.8167,117.25,
167,San Patricio,US,80.6,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
169,Dong Xoai,VN,72.81,scattered clouds,11.5333,106.9167,Khách Sạn Bình Phước - Khách Sạn Ngọc Lan
172,Coahuayana,MX,80.6,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
180,Atambua,ID,74.39,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
184,Faanui,PF,81.88,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
186,Chachoengsao,TH,82.99,clear sky,13.6167,101.4167,บ้านเจ๊น้อยห้วยหิน
189,Cayenne,GF,81.0,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
194,Tabou,CI,78.91,overcast clouds,4.423,-7.3528,hotêl doufoulougou
196,Santa Maria,BR,73.4,few clouds,-29.6842,-53.8069,Hotel Morotin
201,Cabo San Lucas,MX,79.0,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
202,Tibati,CM,72.41,overcast clouds,6.4667,12.6333,Tibati Hotel
205,Pine Bluff,US,75.2,few clouds,34.2284,-92.0032,Holiday Inn Express & Suites Pine Bluff/Pines Mall
206,Cockburn Town,TC,73.11,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
208,Yulara,AU,73.4,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
211,Abu Dhabi,AE,73.4,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
214,Piacabucu,BR,79.3,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
217,Marawi,PH,73.99,moderate rain,7.9986,124.2928,Derogongan Residence
220,Kismayo,SO,77.36,broken clouds,-0.3582,42.5454,Agan-Hotel
221,Emerald,AU,73.99,scattered clouds,-23.5333,148.1667,The Irish Village
223,Bubaque,GW,78.28,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
224,Houma,US,75.2,broken clouds,29.5958,-90.7195,Courtyard by Marriott Houma
225,Sunland Park,US,77.0,clear sky,31.7965,-106.58,SpringHill Suites by Marriott El Paso
226,Kahului,US,78.8,light rain,20.8947,-156.47,Maui Seaside Hotel
239,Hilo,US,77.0,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
242,Salvador,SV,87.8,few clouds,13.8333,-88.9167,Chico's Ranch
243,Bairiki,KI,82.4,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
244,Dwarka,IN,73.13,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
