City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
151,Souillac,MU,-20.5167,57.5167,78.8,83,75,10.36,broken clouds
152,Meulaboh,ID,4.1363,96.1285,75.11,86,8,5.97,clear sky
153,Flinders,AU,-34.5833,150.8552,75.99,83,79,4.0,broken clouds
154,Iguaba Grande,BR,-22.8392,-42.2289,77.0,88,40,8.05,heavy intensity rain
155,Adeje,ES,28.1227,-16.726,62.6,59,40,8.05,scattered clouds
156,Rocha,UY,-34.4833,-54.3333,62.42,89,0,6.2,clear sky
157,Vanavara,RU,60.34,102.2797,8.28,96,100,4.16,overcast clouds
158,Povenets,RU,62.8487,34.8262,-0.45,91,0,3.4,clear sky
159,Kilindoni,TZ,-7.9139,39.6668,80.33,81,68,11.34,broken clouds
160,Port Hedland,AU,-20.3167,118.5667,84.2,89,75,11.5,broken clouds
161,Yerbogachen,RU,61.2767,108.0108,-1.95,93,66,4.81,broken clouds
162,Port Lincoln,AU,-34.7333,135.8667,66.15,79,7,9.75,clear sky
163,Almasu,RO,46.95,23.1333,27.0,74,0,1.95,clear sky
164,Nikolskoye,RU,59.7035,30.7861,8.01,71,0,8.95,clear sky
165,Tiksi,RU,71.6872,128.8694,-22.94,83,82,26.24,broken clouds
166,Sembakung,ID,3.8167,117.25,73.49,93,100,1.9,moderate rain
167,San Patricio,US,28.017,-97.5169,80.6,54,75,34.52,broken clouds
168,Hasaki,JP,35.7333,140.8333,41.0,65,20,4.61,few clouds
169,Dong Xoai,VN,11.5333,106.9167,72.81,75,29,3.89,scattered clouds
170,Kathmandu,NP,27.7167,85.3167,51.8,87,20,3.44,few clouds
171,York,US,40.1254,-77.0,66.2,24,1,11.5,clear sky
172,Coahuayana,MX,18.7333,-103.6833,80.6,50,40,11.5,scattered clouds
173,Najran,SA,17.4924,44.1277,68.0,19,0,1.95,clear sky
174,Vila Franca Do Campo,PT,37.7167,-25.4333,60.8,94,40,14.97,scattered clouds
175,Deputatskiy,RU,69.3,139.9,-3.41,91,100,6.29,overcast clouds
176,Dayong,CN,25.0209,118.2898,62.6,72,40,2.24,scattered clouds
177,Malaya Vishera,RU,58.8454,32.2222,2.53,90,0,4.29,clear sky
178,Coutances,FR,49.05,-1.4333,51.01,100,90,18.41,overcast clouds
179,Vinnytsya,UA,49.2328,28.481,21.54,95,92,5.23,overcast clouds
180,Atambua,ID,-9.1061,124.8925,74.39,87,100,1.03,overcast clouds
181,Fairbanks,US,64.8378,-147.7164,26.6,93,90,4.81,light snow
182,Fukue,JP,32.6881,128.8419,58.33,75,96,6.06,overcast clouds
183,Nemuro,JP,43.3236,145.575,28.85,90,9,13.29,clear sky
184,Faanui,PF,-16.4833,-151.75,81.88,72,98,10.76,overcast clouds
185,Komsomolskiy,UZ,40.4272,71.7189,44.6,87,90,2.3,light rain
186,Chachoengsao,TH,13.6167,101.4167,82.99,80,7,2.3,clear sky
187,Luderitz,NA,-26.6481,15.1594,68.0,77,0,11.81,clear sky
188,Tuatapere,NZ,-46.1333,167.6833,55.99,71,54,1.01,broken clouds
189,Cayenne,GF,4.9333,-52.3333,81.0,89,75,8.05,broken clouds
190,Mehamn,NO,71.0357,27.8492,14.0,67,0,33.38,clear sky
191,Saskatoon,CA,52.1168,-106.6345,23.0,86,90,20.71,light snow
192,Ladario,BR,-19.0047,-57.6017,91.4,52,0,3.04,clear sky
193,Tieli,CN,46.95,128.05,19.72,94,0,3.38,clear sky
194,Tabou,CI,4.423,-7.3528,78.91,89,100,5.23,overcast clouds
195,Husavik,IS,66.0449,-17.3389,32.0,86,90,23.02,light snow
196,Santa Maria,BR,-29.6842,-53.8069,73.4,68,20,2.3,few clouds
197,Sioux Lookout,CA,50.1001,-91.917,28.4,54,90,6.91,overcast clouds
198,Codrington,AU,-38.2667,141.9667,60.89,70,100,4.92,overcast clouds
199,Castro,BR,-24.7911,-50.0119,62.01,86,20,3.51,few clouds
200,Bukachacha,RU,52.9833,116.9167,5.83,90,12,1.48,few clouds
201,Cabo San Lucas,MX,22.8909,-109.9124,79.0,47,40,8.05,scattered clouds
202,Tibati,CM,6.4667,12.6333,72.41,47,100,3.44,overcast clouds
203,Los Llanos De Aridane,ES,28.6585,-17.9182,64.4,63,75,16.11,broken clouds
204,Zhezkazgan,KZ,47.8043,67.7144,16.47,95,70,8.97,broken clouds
205,Pine Bluff,US,34.2284,-92.0032,75.2,50,20,21.85,few clouds
206,Cockburn Town,TC,21.4612,-71.1419,73.11,85,100,22.75,overcast clouds
207,Lasa,IT,46.6166,10.7002,37.99,63,0,4.61,clear sky
208,Yulara,AU,-25.2406,130.9889,73.4,83,85,5.86,overcast clouds
209,Esperance,AU,-33.8667,121.9,66.2,82,100,10.36,overcast clouds
210,Rovaniemi,FI,66.5,25.7167,5.0,56,0,14.97,clear sky
