City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
193,Sabha,LY,2021-03-04 06:06:06,27.0377,14.4283,52.02,50,1,20.67
194,Port Moresby,PG,2021-03-04 06:06:07,-9.4431,147.1797,82.4,74,90,17.27
195,Karaman,TR,2021-03-04 06:06:08,37.0833,33.25,28.0,97,3,9.42
196,Solnechnyy,RU,2021-03-04 06:06:09,50.7214,136.6319,28.04,79,66,4.65
197,Port Elizabeth,ZA,2021-03-04 06:01:59,-33.918,25.5701,68.0,88,20,4.61
198,Reconquista,AR,2021-03-04 06:06:11,-29.15,-59.65,70.03,92,66,5.53
199,Seoul,KR,2021-03-04 06:06:12,37.5683,126.9778,53.6,47,90,6.91
200,Victoria Point,AU,2021-03-04 06:06:13,-27.5833,153.3,80.01,65,36,3.0
201,Chokurdakh,RU,2021-03-04 06:06:14,70.6333,147.9167,-16.42,95,100,15.66
202,Wollongong,AU,2021-03-04 06:04:51,-34.4333,150.8833,86.0,34,1,3.0
203,Oriximina,BR,2021-03-04 06:06:16,-1.7656,-55.8661,73.9,91,88,1.83
204,San Andres,CO,2021-03-04 06:06:17,12.5847,-81.7006,78.8,78,20,11.5
205,Upernavik,GL,2021-03-04 06:06:18,72.7868,-56.1549,-10.28,85,100,19.64
206,Lorengau,PG,2021-03-04 06:06:19,-2.0226,147.2712,82.29,78,99,12.35
207,Ca Mau,VN,2021-03-04 06:05:10,9.1769,105.15,93.16,41,0,17.34
208,Mundo Nuevo,MX,2021-03-04 06:06:22,18.7,-95.5,71.92,84,17,5.88
209,Zyryanka,RU,2021-03-04 06:06:23,65.75,150.85,-23.03,85,100,27.38
210,Cayenne,GF,2021-03-04 06:06:24,4.9333,-52.3333,79.0,89,75,3.44
211,Muskogee,US,2021-03-04 06:06:25,35.5834,-95.3336,48.2,57,1,8.05
212,Faanui,PF,2021-03-04 06:06:26,-16.4833,-151.75,82.9,75,98,12.53
213,Zambezi,ZM,2021-03-04 06:06:27,-13.5432,23.1047,66.4,90,99,2.39
214,Praia Da Vitoria,PT,2021-03-04 06:06:28,38.7333,-27.0667,60.01,72,40,13.29
215,Biltine,TD,2021-03-04 06:06:29,14.5333,20.9167,71.29,19,83,18.68
216,Tiznit,MA,2021-03-04 06:06:30,29.5833,-9.5,53.33,79,2,0.56
217,Sharkan,RU,2021-03-04 06:06:31,57.2989,53.8712,23.0,82,91,3.0
