City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
294,Joshimath,IN,3/4/2021 6:08,30.5667,79.5667,59.61,29,2,6.49
295,Songjianghe,CN,3/4/2021 6:08,42.1859,127.479,38.89,68,5,14.63
296,Aswan,EG,3/4/2021 6:08,24.0934,32.907,55.63,43,0,18.19
297,Saint-Pierre,RE,3/4/2021 6:08,-21.3393,55.4781,86,62,0,5.75
298,Pevek,RU,3/4/2021 6:08,69.7008,170.3133,0.59,93,100,11.45
299,Roald,NO,3/4/2021 6:08,62.5833,6.1333,35.6,60,20,8.05
300,Mizdah,LY,3/4/2021 6:08,31.4451,12.9801,44.87,82,27,15.5
301,Leshan,CN,3/4/2021 6:08,29.5623,103.7639,63.01,40,86,3.49
302,Ourossogui,SN,3/4/2021 6:08,15.6064,-13.3211,75.24,19,9,7.49
303,Andra,RU,3/4/2021 6:08,62.5147,65.8878,12.96,96,97,5.93
304,Moramanga,MG,3/4/2021 6:08,-18.9333,48.2,73.99,76,98,5.3
305,Karasjok,NO,3/4/2021 6:08,69.4719,25.5112,24.8,63,75,21.85
306,Ahipara,NZ,3/4/2021 6:08,-35.1667,173.1667,67.64,73,6,7
307,Peniche,PT,3/4/2021 6:08,39.3558,-9.3811,59,86,100,5.99
308,Tulun,RU,3/4/2021 6:08,54.5611,100.5792,2.97,90,91,5.7
309,Youghal,IE,3/4/2021 6:08,51.95,-7.8506,39,93,75,10.36
